SA,Kamehameha,250
SA,Big Bang Attack,250
SA,Death Beam,300
SA,Masenko,200
SA,Destructo Disc,200
SA,Ki Blast Thrust,150
SA,Dodon Ray,200
SA,Tri-Beam,250
SA,Evil Explosion,200
SA,Double Sunday,150
SA,Shining Friday,150
SA,Bomber DX,200
SA,Galick Gun,200
SA,Saibabeam,100
SA,Beam Rifle,100
SA,Energy Shot,150
SA,Big Bang Kamehameha,350
SA,Emperor's Death Beam,350
SA,Demon Wave,300
SA,Guilty Flash,300
SA,Neo Dodon Ray,300
SA,Nova Star,350
SA,Ice Ray,350
SA,Kamehameha Cannon,350
SA,Headshot,275
SA,God Of Destruction's Wrath,325
SA,Prelude To Destruction,350
SA,Strike Of Revelation,350
SA,Blue Impulse,200
SA,Crusher Ball,225
SA,Death Cannon,200
SA,Death Wave,200
SA,Recoome Boom,150
SA,Space Mach,200
SA,Ginyu Storm,200
SA,Dynamite Pressure,200
SA,Sadistic 18,250
SA,Endgame,200
SA,Power Blitz,250
SA,Energy Shield,200
SA,Perfect Death Beam,325
SA,Perfect Special Beam Cannon,300
SA,Perfect Galick Gun,300
SA,Vanishing Beam,275
SA,Majin Kamehameha,250
SA,Splitting Hheadache,200
SA,Galactic Donut,250
SA,Innocence Breath,225
SA,Innocence Bullet,250
SA,Spirit Cannon,275
SA,Shine Shot,200
UA,Super Kamehameha,450
UA,Spirit Bomb,500
UA,Final Flash,450
UA,Vanishing Ball,500
UA,Special Beam Cannon,400
UA,Instant Kamehameha,400
UA,Explosive Assault,450
UA,Scatter-Kamehameha,400
UA,Spirit Ball,400
UA,Neo Tri-Beam,400
UA,Weekend,450
UA,Vacation Delete,400
UA,Break Cannon,475
UA,Giant Storm,475
UA,Super Dodon Wave,425
UA,Thunder Shock Surprise,450
UA,Evil Containment Wave,400
UA,Super Kamehameha Cannon,500
UA,Angry Explosion,500
UA,Sphere Of Destruction,550
UA,Symphonic Destruction,575
UA,Blue Hurricane,425
UA,Red Magma,425
UA,Death Ball,500
UA,Recoome Eraser Gun,450
UA,Ginyu Force Rampage,425
UA,Super Electric Strike,450
UA,Perfect Kamehameha,475
UA,Perfect Spirit Bomb,525
UA,Father-Son Kamehameha,450
UA,Super Ghost Kamikaze,450
UA,Genocide Blast,450
UA,Spirit Sword,525
UA,Final Kamehameha,500
UA,Super Big Bang Kamehameha,525
UA,Final Shine Attack,500
UA,Final Galick Gun,500
UA,Explosive Demon Wave,450
MC,Maximum Charge,0
SS,Super Saiyan,0
