Goku (Super Saiyan 1),20,3700,450,500,5,6,TRUE
Kamehameha,Maximum Charge,,,,,,
Super Saiyan,Spirit Bomb,,,,,,
Vegeta (Super Saiyan 1),19,3600,500,450,6,4,TRUE
Maximum Charge,Galick Gun,Shine Shot,,,,,
Super Saiyan,Final Flash,,,,,,
Gohan (Kid),13,2500,350,250,5,5,TRUE
Masenko,Maximum Charge,,,,,,
Explosive Assult,,,,,,,
Krillin,12,2200,300,200,4,5,TRUE
Kamehameha,Destructo-Disc,,,,,,
Scatter-Kamehameha,,,,,,,
Piccolo (Fused w. Nail),16,3000,350,300,5,7,TRUE
Maximum Charge,Evil Explosion,Masenko,,,,,
Special Beam Cannon,,,,,,,
Recoome,14,2700,400,400,3,3,TRUE
Recoome Boom,,,,,,,
Recoome Eraser Gun,Ginyu Force Rampage,,,,,,
Jeice,14,2500,250,250,4,4,TRUE
Crusher Ball,,,,,,,
Red Magma,Ginyu Force Rampage,,,,,,
Burter,14,2500,300,300,3,6,TRUE
Blue Impulse,Space Mach,,,,,,
Blue Hurricane,Ginyu Force Rampage,,,,,,
Captain Ginyu,15,2800,350,350,5,5,TRUE
Ginyu Storm,Dynamite Pressure,,,,,,
Ginyu Force Rampage,,,,,,,
Frieza (Full Power),18,3600,400,450,5,6,TRUE
Death Beam,Death Cannon,Death Wave,Maximum Charge,,,,
Death Ball,,,,,,,
Raspberry,8,1800,250,150,3,4,FALSE
Beam Rifle,,,,,,,
,,,,,,,
Navel,7,1900,300,150,3,4,FALSE
Beam Rifle,,,,,,,
,,,,,,,
Monre,7,1950,250,150,3,4,FALSE
Beam Rifle,,,,,,,
,,,,,,,
Ramon,8,1800,250,200,3,3,FALSE
Energy Shot,,,,,,,
,,,,,,,
Orlen,9,1900,250,150,3,4,FALSE
Energy Shot,,,,,,,
,,,,,,,
Dodoria,12,2100,300,350,4,4,FALSE
Bomber DX,Maximum Charge,,,,,,
Explosive Assult,,,,,,,
Zarbon,13,2350,300,400,3,6,FALSE
Ki Blast Thrust,Maximum Charge,,,,,,
Explosive Assult,,,,,,,
